2025 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place [Event:31496 Phase:FinalResults Generated:2025-06-16T10:38:57 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,318,Bean,97445,Greenway,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,751,52.12
ACT,318,Bean,93929,Gungahlin BEAN PPVC,41682,PRICE,Jessie,2,N,N,IND,Independent,155,42.01
ACT,318,Bean,93929,Gungahlin BEAN PPVC,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,214,57.99
ACT,318,Bean,8773,Holder,41682,PRICE,Jessie,2,N,N,IND,Independent,769,53.63
ACT,318,Bean,8773,Holder,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,665,46.37
ACT,318,Bean,93908,Hughes (Bean),41682,PRICE,Jessie,2,N,N,IND,Independent,51,43.97
ACT,318,Bean,93908,Hughes (Bean),40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,65,56.03
ACT,318,Bean,8884,Isabella Plains,41682,PRICE,Jessie,2,N,N,IND,Independent,849,51.71
ACT,318,Bean,8884,Isabella Plains,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,793,48.29
ACT,318,Bean,8776,Kambah North,41682,PRICE,Jessie,2,N,N,IND,Independent,852,55.25
ACT,318,Bean,8776,Kambah North,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,690,44.75
ACT,318,Bean,8777,Kambah South,41682,PRICE,Jessie,2,N,N,IND,Independent,929,52.37
ACT,318,Bean,8777,Kambah South,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,845,47.63
ACT,318,Bean,8778,Kambah West,41682,PRICE,Jessie,2,N,N,IND,Independent,870,53.15
ACT,318,Bean,8778,Kambah West,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,767,46.85
ACT,318,Bean,93909,Lyons (Bean),41682,PRICE,Jessie,2,N,N,IND,Independent,249,49.6
ACT,318,Bean,93909,Lyons (Bean),40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,253,50.4
ACT,318,Bean,8780,Mawson,41682,PRICE,Jessie,2,N,N,IND,Independent,843,49.79
ACT,318,Bean,8780,Mawson,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,850,50.21
ACT,318,Bean,8781,Monash,41682,PRICE,Jessie,2,N,N,IND,Independent,937,54.48
ACT,318,Bean,8781,Monash,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,783,45.52
ACT,318,Bean,65739,Norfolk Island,41682,PRICE,Jessie,2,N,N,IND,Independent,220,64.71
ACT,318,Bean,65739,Norfolk Island,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,120,35.29
ACT,318,Bean,66153,Norfolk Island PPVC,41682,PRICE,Jessie,2,N,N,IND,Independent,353,66.6
ACT,318,Bean,66153,Norfolk Island PPVC,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,177,33.4
ACT,318,Bean,109423,Other Mobile Team 1,41682,PRICE,Jessie,2,N,N,IND,Independent,3,37.5
ACT,318,Bean,109423,Other Mobile Team 1,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,5,62.5
ACT,318,Bean,109493,Other Mobile Team 2,41682,PRICE,Jessie,2,N,N,IND,Independent,0,0
ACT,318,Bean,109493,Other Mobile Team 2,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,0,0
ACT,318,Bean,93928,Parkes (Bean),41682,PRICE,Jessie,2,N,N,IND,Independent,384,50.39
ACT,318,Bean,93928,Parkes (Bean),40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,378,49.61
ACT,318,Bean,97479,Parkes BEAN PPVC,41682,PRICE,Jessie,2,N,N,IND,Independent,1128,48
ACT,318,Bean,97479,Parkes BEAN PPVC,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,1222,52
ACT,318,Bean,8784,Pearce,41682,PRICE,Jessie,2,N,N,IND,Independent,674,51.22
ACT,318,Bean,8784,Pearce,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,642,48.78
ACT,318,Bean,98056,Queanbeyan BEAN PPVC,41682,PRICE,Jessie,2,N,N,IND,Independent,289,55.9
ACT,318,Bean,98056,Queanbeyan BEAN PPVC,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,228,44.1
ACT,318,Bean,8786,Richardson,41682,PRICE,Jessie,2,N,N,IND,Independent,512,53.28
